County, FIPS,cancer_incidence_per_100000
"Graves County, Kentucky(7,9)",21083,502.7
"Strafford County, New Hampshire(6,10)",33017,502.6
"Carroll County, Illinois(6,10)",17015,502.6
"Randolph County, North Carolina(6,10)",37151,502.3
"Hinds County, Mississippi(6,10)",28049,502.3
"Barren County, Kentucky(7,9)",21009,502.2
"Marion County, Ohio(6,10)",39101,502.1
"Jefferson County, Arkansas(6,10)",5069,502.1
"Rock County, Nebraska(6,10)",31149,502.1
"Ritchie County, West Virginia(6,10)",54085,502
"Rockland County, New York(6,10)",36087,502
"Boone County, West Virginia(6,10)",54005,501.8
"Dougherty County, Georgia(7,9)",13095,501.8
"Casey County, Kentucky(7,9)",21045,501.8
"Carteret County, North Carolina(6,10)",37031,501.8
"Avoyelles Parish, Louisiana(7,9)",22009,501.8
"Mercer County, Pennsylvania(6,10)",42085,501.6
"Washington County, Maine(6,10)",23029,501.5
"Oneida County, New York(6,10)",36065,501.5
"Hitchcock County, Nebraska(6,10)",31087,501.5
"Scott County, Iowa(7,8)",19163,501.4
"Greene County, Pennsylvania(6,10)",42059,501.4
"Calloway County, Kentucky(7,9)",21035,501.3
"Allegheny County, Pennsylvania(6,10)",42003,501.2
"Bay County, Florida(6,10)",12005,501.1
"North Slope Borough, Alaska(6,10)",2185,501.1
"Hanson County, South Dakota(6,10)",46061,501.1
"Monroe County, Mississippi(6,10)",28095,501
"Logan County, Nebraska(6,10)",31113,501
"Harrison County, Kentucky(7,9)",21097,500.9
"Ohio County, West Virginia(6,10)",54069,500.9
"Guilford County, North Carolina(6,10)",37081,500.9
"Cedar County, Iowa(7,8)",19031,500.8
"Jefferson County, New York(6,10)",36045,500.8
"Pike County, Missouri(6,10)",29163,500.7
"Benton County, Missouri(6,10)",29015,500.6
"Hawkins County, Tennessee(6,10)",47073,500.6
"Jessamine County, Kentucky(7,9)",21113,500.6
"Wilcox County, Alabama(6,10)",1131,500.5
"Bucks County, Pennsylvania(6,10)",42017,500.5
"Haralson County, Georgia(7,9)",13143,500.5
"Sabine Parish, Louisiana(7,9)",22085,500.4
"Trinity County, Texas(6,10)",48455,500.3
"Brown County, Ohio(6,10)",39015,500.2
"New Haven County, Connecticut(7,8)",9009,500.1
"Saline County, Illinois(6,10)",17165,500.1
"Luzerne County, Pennsylvania(6,10)",42079,500
"Worcester County, Maryland(6,10)",24047,499.8
"Canadian County, Oklahoma(6,10)",40017,499.8
"St. Martin Parish, Louisiana(7,9)",22099,499.7
"Jefferson Davis Parish, Louisiana(7,9)",22053,499.6
"Cabarrus County, North Carolina(6,10)",37025,499.6
"Anderson County, Tennessee(6,10)",47001,499.5
"Alpine County, California(7,9)",6003,499.5
"Pamlico County, North Carolina(6,10)",37137,499.4
"Skagit County, Washington(7,8)",53057,499.3
"Nome Census Area, Alaska(6,10)",2180,499.3
"Angelina County, Texas(6,10)",48005,499.2
"Muskegon County, Michigan(6,10)",26121,499 #  
"Harding County, New Mexico(7,8)",35021,498.9
"Monroe County, New York(6,10)",36055,498.9
"Morgan County, Kentucky(7,9)",21175,498.8
"St. Lawrence County, New York(6,10)",36089,498.7
"Lincoln County, Wisconsin(6,10)",55069,498.7
"Perry County, Illinois(6,10)",17145,498.3
"Ashtabula County, Ohio(6,10)",39007,498.3
"Elmore County, Idaho(6,10)",16039,498.1
"Lee County, South Carolina(6,10)",45061,497.9
"Linn County, Missouri(6,10)",29115,497.9
"Dickson County, Tennessee(6,10)",47043,497.9
"York County, Maine(6,10)",23031,497.7
"Shoshone County, Idaho(6,10)",16079,497.6
"Morrow County, Oregon(6,10)",41049,497.6
"St. James Parish, Louisiana(7,9)",22093,497.4
"Harrison County, Mississippi(6,10)",28047,497.4
"Dukes County, Massachusetts(6,10)",25007,497.3
"Baltimore City, Maryland(6,10)",24510,497.2
"Randolph County, Indiana(6,10)",18135,497.2
"Putnam County, West Virginia(6,10)",54079,497.2
"Pendleton County, Kentucky(7,9)",21191,497.1
"Chesterfield County, Virginia(6,10)",51041,497
"Roscommon County, Michigan(6,10)",26143,496.9 #  
"Garvin County, Oklahoma(6,10)",40049,496.9
"Levy County, Florida(6,10)",12075,496.9
"Warren County, Pennsylvania(6,10)",42123,496.8
"Hanover County, Virginia(6,10)",51085,496.6
"Fentress County, Tennessee(6,10)",47049,496.6
"Robertson County, Tennessee(6,10)",47147,496.6
"Marshall County, Kentucky(7,9)",21157,496.5
"Hunterdon County, New Jersey(7,8)",34019,496.3
"Bristol County, Massachusetts(6,10)",25005,496.2
"Carbon County, Pennsylvania(6,10)",42025,496.1
"Washington County, Mississippi(6,10)",28151,496.1
"Grainger County, Tennessee(6,10)",47057,496
"Fayette County, Kentucky(7,9)",21067,496
"Orleans County, New York(6,10)",36073,495.9
"Thurston County, Washington(7,8)",53067,495.9
"Greene County, Alabama(6,10)",1063,495.8
"Fulton County, Kentucky(7,9)",21075,495.8
"Warren County, Iowa(7,8)",19181,495.8
"Oakland County, Michigan(7,8)",26125,495.7
"Fayette County, Pennsylvania(6,10)",42051,495.6
